Datum;Aanhef;Voornaam;Achternaam;Leeftijd;E-mailadres;Facebook;Google;Zorgkaart;Independer;"Vergelijk Mondzorg";"Aangepaste doorverwijzing";Kliniekoverzicht;Telefoonboek;"Uitgenodigd op";"Beoordeeld op"
04-10-2016;;Jack;Burns;87;deejayy@yandex.ua;0;1;0;0;0;0;0;1;"29-09-2016 18:19";"29-09-2016 18:19"
04-10-2016;;Tom;Jackson;5;Tom_Jackson@gmail.com;0;0;0;0;0;0;0;0;"29-09-2016 18:19";"29-09-2016 18:19"
04-10-2016;Mr.;Andrew;Gordon;35;Andrew_Gordon@gmail.com;0;0;1;0;1;1;0;1;"29-09-2016 14:21";"29-09-2016 14:21"
04-10-2016;Dr.;Roger;Burns;21;Roger_Burns@gmail.com;0;0;0;1;0;1;1;0;"29-09-2016 11:09";"29-09-2016 11:09"
04-10-2016;Mr.;Roger;Burns;21;Roger_Burns@gmail.com;1;0;1;1;0;1;0;0;"29-09-2016 10:19";"29-09-2016 10:19"
04-10-2016;Dr.;William;Walker;18;William_Walker@gmail.com;0;0;1;0;0;0;1;0;"29-09-2016 10:09";"29-09-2016 10:09"
04-10-2016;Mr.;Andrew;Eastwood;60;Andrew_Eastwood@gmail.com;0;1;0;0;0;0;0;1;"29-09-2016 09:45";"29-09-2016 09:45"
04-10-2016;Dr.;George;Gordon;16;George_Gordon@gmail.com;0;0;0;0;0;0;0;0;"29-09-2016 08:45";"29-09-2016 08:45"
04-10-2016;Mr.;Andrew;Dent;87;Andrew_Dent@gmail.com;0;1;0;1;0;0;0;1;"29-09-2016 08:09";"29-09-2016 08:09"
04-10-2016;Mr.;Andrew;Peterson;21;Andrew_Peterson@gmail.com;0;0;0;0;0;0;1;0;"29-09-2016 07:09";"29-09-2016 07:09"
04-10-2016;Dr.;Tom;Clinton;18;Tom_Clinton@gmail.com;0;0;0;0;0;0;0;0;"29-09-2016 07:09";"29-09-2016 07:09"
04-10-2016;Mr.;Sam;Walker;21;Sam_Walker@gmail.com;0;0;1;0;0;0;0;1;"29-09-2016 06:45";"29-09-2016 06:45"
04-10-2016;Dr.;William;Peterson;87;William_Peterson@gmail.com;0;0;1;0;0;0;0;0;"29-09-2016 06:09";"29-09-2016 06:09"
04-10-2016;Mr.;John;Smith;21;John_Smith@gmail.com;0;1;1;0;0;0;1;0;"29-09-2016 05:45";"29-09-2016 05:45"
04-10-2016;Mr.;Roger;Smith;5;Roger_Smith@gmail.com;0;1;1;1;0;1;1;0;"29-09-2016 05:21";"29-09-2016 05:21"
04-10-2016;Dr.;Jim;Jackson;60;Jim_Jackson@gmail.com;1;0;1;0;0;0;1;0;"29-09-2016 04:45";"29-09-2016 04:45"
04-10-2016;;John;Walker;21;John_Walker@gmail.com;0;0;1;0;0;0;1;0;"29-09-2016 04:45";"29-09-2016 04:45"
04-10-2016;Dr.;Tom;Clinton;5;Tom_Clinton@gmail.com;0;1;1;1;0;0;1;1;"29-09-2016 04:09";"29-09-2016 04:09"
04-10-2016;Mr.;Bill;Gordon;25;Bill_Gordon@gmail.com;1;0;0;0;0;0;0;0;"29-09-2016 03:09";"29-09-2016 03:09"
04-10-2016;Mr.;Roger;Eastwood;54;Roger_Eastwood@gmail.com;0;0;0;1;0;0;0;0;"28-09-2016 08:00";"28-09-2016 08:00"
04-10-2016;Mr.;Jack;Clinton;16;Jack_Clinton@gmail.com;1;1;1;1;1;1;0;0;"28-09-2016 03:00";"28-09-2016 03:00"
04-10-2016;Mr.;John;Dent;0;John_Dent@gmail.com;1;1;0;1;0;1;0;1;"28-09-2016 01:06";"28-09-2016 01:06"
04-10-2016;;Andrew;Doe;5;Andrew_Doe@gmail.com;1;0;1;1;0;1;0;0;"28-09-2016 01:00";"28-09-2016 01:00"
04-10-2016;Mr.;Tom;Gordon;35;Tom_Gordon@gmail.com;0;0;0;0;0;0;0;0;"28-09-2016 00:06";"28-09-2016 00:06"
04-10-2016;Dr.;Jack;Smith;16;Jack_Smith@gmail.com;0;0;0;0;0;0;0;0;"28-09-2016 00:00";"28-09-2016 00:00"
04-10-2016;Mr.;Bill;Jackson;25;Bill_Jackson@gmail.com;0;0;0;0;1;0;1;0;"27-09-2016 23:47";"27-09-2016 23:47"
04-10-2016;Mr.;Bill;Jackson;16;Bill_Jackson@gmail.com;0;0;0;1;0;0;0;0;"27-09-2016 22:47";"27-09-2016 22:47"
04-10-2016;Dr.;Andrew;Burns;35;Andrew_Burns@gmail.com;1;1;0;0;1;1;0;0;"27-09-2016 22:03";"27-09-2016 22:03"
04-10-2016;;Roger;Peterson;0;Roger_Peterson@gmail.com;0;0;1;1;0;0;1;0;"27-09-2016 21:00";"27-09-2016 21:00"
04-10-2016;Mr.;Tom;Smith;21;Tom_Smith@gmail.com;1;0;0;1;0;0;1;0;"27-09-2016 19:47";"27-09-2016 19:47"
04-10-2016;Mr.;George;Dent;25;George_Dent@gmail.com;0;0;0;0;0;0;0;0;"27-09-2016 19:03";"27-09-2016 19:03"
04-10-2016;Dr.;Sam;Gordon;54;Sam_Gordon@gmail.com;0;1;0;0;1;0;1;0;"27-09-2016 18:47";"27-09-2016 18:47"
04-10-2016;Mr.;Jim;Gordon;0;Jim_Gordon@gmail.com;1;0;1;0;1;0;1;1;"27-09-2016 17:47";"27-09-2016 17:47"
04-10-2016;;William;Burns;60;William_Burns@gmail.com;0;0;0;0;0;0;0;0;"27-09-2016 17:03";"27-09-2016 17:03"
04-10-2016;;Jim;Eastwood;5;Jim_Eastwood@gmail.com;1;0;1;1;0;1;1;1;"27-09-2016 16:03";"27-09-2016 16:03"
04-10-2016;;John;Dent;35;John_Dent@gmail.com;0;0;1;1;0;1;1;0;"27-09-2016 14:47";"27-09-2016 14:47"
04-10-2016;;Tom;Smith;60;Tom_Smith@gmail.com;0;0;1;0;0;0;0;0;"27-09-2016 13:47";"27-09-2016 13:47"
04-10-2016;;Roger;Jackson;18;Roger_Jackson@gmail.com;1;0;0;0;0;1;1;0;"27-09-2016 13:47";"27-09-2016 13:47"
04-10-2016;Mr.;John;Dent;25;John_Dent@gmail.com;0;1;0;0;0;0;0;1;"27-09-2016 06:32";"27-09-2016 06:32"
04-10-2016;;Roger;Gordon;60;Roger_Gordon@gmail.com;0;0;0;0;0;0;1;0;"27-09-2016 05:32";"27-09-2016 05:32"
04-10-2016;Mr.;William;Smith;35;William_Smith@gmail.com;0;0;0;0;0;0;0;0;"27-09-2016 04:32";"27-09-2016 04:32"
04-10-2016;;Roger;Peterson;35;Roger_Peterson@gmail.com;0;0;0;0;0;0;0;0;"27-09-2016 03:32";"27-09-2016 03:32"
